Customer_ID,Gender,Age,Signup_Date,Last_Purchase,Total_Spend,Payment_Method,Subscription_Type,Contract,Support_Calls,Monthly_Visits,Churn
65.0,F,,2024-09-02 19:48:53.716043,2024-11-24 19:48:53.723079,1309.75,PayPal,Premium,Month-to-Month,4.0,15.7,
66.0,M,48.0,2020-10-28 19:48:53.716050,2024-09-24 19:48:53.723089,,Credit Card,Premium,,2.0,26.6,
67.0,F,34.0,,2024-10-21 19:48:53.723095,1898.5,PayPal,,One Year,1.0,23.6,
68.0,F,45.0,2024-07-10 19:48:53.716060,2024-06-29 19:48:53.723100,1714.32,Credit Card,Premium,One Year,0.0,26.4,0.0
,F,38.0,2019-08-25 19:48:53.716066,2024-01-28 19:48:53.723106,1406.14,Debit Card,Premium,Month-to-Month,,17.2,1.0
70.0,M,28.0,2021-07-07 19:48:53.716071,2023-11-09 19:48:53.723115,,PayPal,Premium,One Year,1.0,23.6,0.0
71.0,F,38.0,2021-01-04 19:48:53.716077,2024-08-11 19:48:53.723124,1358.33,Credit Card,Premium,Month-to-Month,5.0,18.8,1.0
72.0,F,50.0,2021-06-23 19:48:53.716082,2024-04-28 19:48:53.723133,869.89,Credit Card,Premium,Month-to-Month,2.0,18.4,0.0
,,34.0,2021-01-01 19:48:53.716087,2024-09-24 19:48:53.723143,1114.73,Credit Card,Premium,Month-to-Month,3.0,15.2,0.0
74.0,,50.0,2023-10-20 19:48:53.716092,2025-01-13 19:48:53.723149,,PayPal,,Month-to-Month,3.0,3.5,
75.0,F,18.0,2022-02-27 19:48:53.716097,2023-10-30 19:48:53.723154,988.28,Credit Card,Premium,Month-to-Month,2.0,19.6,0.0
76.0,M,43.0,2020-08-28 19:48:53.716103,2024-05-11 19:48:53.723159,758.58,,Standard,Month-to-Month,1.0,3.2,1.0
77.0,F,35.0,2020-05-18 19:48:53.716108,2023-12-20 19:48:53.723164,1720.22,Credit Card,Premium,Month-to-Month,2.0,29.8,1.0
,M,32.0,2024-04-09 19:48:53.716113,2024-08-27 19:48:53.723171,1121.94,PayPal,Premium,Month-to-Month,5.0,19.6,1.0
79.0,M,35.0,2022-07-01 19:48:53.716119,2024-10-20 19:48:53.723176,1508.97,PayPal,Premium,One Year,5.0,,1.0
80.0,F,18.0,2023-06-06 19:48:53.716124,2024-05-01 19:48:53.723182,1665.74,PayPal,Premium,Month-to-Month,2.0,18.0,0.0
81.0,M,,2021-02-19 19:48:53.716129,2024-02-17 19:48:53.723187,,PayPal,Premium,Month-to-Month,3.0,23.8,0.0
82.0,,,2024-01-26 19:48:53.716136,2024-06-14 19:48:53.723192,706.49,Credit Card,Standard,Two Year,1.0,2.2,0.0
83.0,M,49.0,2024-03-30 19:48:53.716144,2025-01-17 19:48:53.723198,1418.23,Credit Card,Premium,Month-to-Month,1.0,27.9,0.0
,F,29.0,2023-06-11 19:48:53.716153,2024-06-07 19:48:53.723203,621.98,PayPal,Standard,One Year,0.0,19.3,1.0
85.0,M,26.0,2021-09-11 19:48:53.716161,2024-10-10 19:48:53.723208,454.09,Credit Card,Standard,Month-to-Month,7.0,,1.0
86.0,M,29.0,2022-11-24 19:48:53.716167,,446.64,Credit Card,,Month-to-Month,1.0,9.6,1.0
87.0,F,44.0,2020-07-02 19:48:53.716172,2024-04-28 19:48:53.723219,100.65,Credit Card,Standard,One Year,1.0,1.4,1.0
88.0,M,38.0,,2024-09-13 19:48:53.723224,,Credit Card,Premium,One Year,2.0,24.6,0.0
89.0,F,29.0,2023-12-17 19:48:53.716183,2024-07-14 19:48:53.723229,1435.44,Credit Card,Premium,,1.0,21.2,0.0
90.0,M,40.0,2022-08-31 19:48:53.716188,,1122.63,,,One Year,5.0,19.1,1.0
91.0,F,35.0,2023-12-03 19:48:53.716193,2023-12-15 19:48:53.723239,,Credit Card,,Two Year,0.0,18.1,0.0
92.0,M,44.0,2021-12-21 19:48:53.716198,2024-09-03 19:48:53.723245,,Credit Card,Premium,Month-to-Month,,24.8,0.0
93.0,F,27.0,2024-01-18 19:48:53.716204,2024-08-12 19:48:53.723250,35.66,Credit Card,Standard,Month-to-Month,5.0,8.9,
94.0,M,31.0,2022-03-29 19:48:53.716214,2023-11-13 19:48:53.723256,1514.33,PayPal,Premium,Month-to-Month,2.0,17.7,1.0
95.0,M,31.0,2024-02-12 19:48:53.716223,2024-06-08 19:48:53.723261,,Credit Card,Premium,Month-to-Month,6.0,25.3,1.0
96.0,M,20.0,2023-04-01 19:48:53.716231,2023-12-10 19:48:53.723267,1962.58,Debit Card,Premium,One Year,4.0,23.5,0.0
97.0,M,37.0,2023-04-02 19:48:53.716237,,1381.06,,Premium,,2.0,27.9,1.0
98.0,M,37.0,2023-02-23 19:48:53.716242,,876.32,Credit Card,,Month-to-Month,,16.8,1.0
,M,35.0,,2024-09-23 19:48:53.723283,445.83,Debit Card,Standard,Two Year,1.0,15.9,0.0
100.0,F,32.0,2020-07-27 19:48:53.716252,,,Debit Card,Premium,Two Year,4.0,25.1,0.0
,,20.0,,2024-12-16 19:48:53.723293,1996.22,PayPal,,Month-to-Month,3.0,16.7,0.0
102.0,M,30.0,2023-08-31 19:48:53.716264,2024-08-22 19:48:53.723302,1316.41,PayPal,Premium,Month-to-Month,2.0,25.4,1.0
103.0,F,31.0,2020-09-28 19:48:53.716269,2024-10-21 19:48:53.723312,1184.36,Credit Card,Premium,Month-to-Month,5.0,21.6,0.0
104.0,F,26.0,2020-12-30 19:48:53.716274,2024-07-03 19:48:53.723322,1887.98,Credit Card,Premium,,7.0,29.2,1.0
105.0,M,33.0,2022-09-30 19:48:53.716279,2024-09-11 19:48:53.723350,1029.49,Credit Card,Premium,Month-to-Month,9.0,17.1,0.0
106.0,M,39.0,2022-09-25 19:48:53.716285,2023-12-21 19:48:53.723361,1538.51,Credit Card,,One Year,5.0,24.6,1.0
107.0,M,53.0,2021-10-18 19:48:53.716290,2023-12-07 19:48:53.723370,1286.86,Debit Card,,Month-to-Month,3.0,20.7,1.0
108.0,F,36.0,,,,,Premium,Month-to-Month,1.0,29.4,0.0
109.0,F,37.0,2020-07-08 19:48:53.716300,2023-10-17 19:48:53.723389,1216.75,PayPal,Premium,Two Year,2.0,19.9,0.0
,M,34.0,2023-08-30 19:48:53.716306,2024-03-11 19:48:53.723399,1118.27,PayPal,Premium,One Year,3.0,29.4,1.0
111.0,F,18.0,2023-08-25 19:48:53.716311,2024-05-07 19:48:53.723409,1623.31,Debit Card,Premium,Two Year,2.0,28.5,0.0
112.0,F,34.0,2020-12-15 19:48:53.716316,2024-06-02 19:48:53.723418,1938.55,Debit Card,Premium,Month-to-Month,8.0,,1.0
113.0,F,35.0,2020-01-29 19:48:53.716321,,221.76,Credit Card,Standard,Month-to-Month,2.0,16.3,
114.0,F,59.0,,,1773.76,Credit Card,Premium,One Year,2.0,29.9,0.0
115.0,M,33.0,2024-04-06 19:48:53.716332,2024-08-02 19:48:53.723444,866.43,Credit Card,Premium,Month-to-Month,2.0,,0.0
116.0,M,38.0,2024-04-14 19:48:53.716338,2024-11-26 19:48:53.723450,1445.75,Credit Card,Premium,Month-to-Month,7.0,21.6,0.0
117.0,,34.0,2022-10-30 19:48:53.716343,2023-10-31 19:48:53.723455,884.66,Credit Card,Premium,One Year,5.0,22.8,1.0
118.0,M,23.0,,2024-09-07 19:48:53.723464,1920.84,Credit Card,,One Year,5.0,19.4,0.0
119.0,M,,2024-04-14 19:48:53.716354,2024-06-03 19:48:53.723474,1719.62,PayPal,Premium,Month-to-Month,2.0,,0.0
120.0,F,42.0,2023-12-25 19:48:53.716359,2024-05-18 19:48:53.723483,529.78,Credit Card,Standard,Month-to-Month,7.0,5.2,1.0
121.0,M,42.0,2020-03-14 19:48:53.716364,2025-01-09 19:48:53.723489,1788.68,,Premium,Month-to-Month,0.0,,0.0
122.0,M,25.0,2024-10-13 19:48:53.716369,2023-12-09 19:48:53.723494,1577.02,PayPal,Premium,Month-to-Month,7.0,21.7,1.0
123.0,M,49.0,,2024-09-17 19:48:53.723500,,,Premium,Month-to-Month,4.0,17.6,0.0
124.0,F,20.0,2021-08-14 19:48:53.716380,2024-10-28 19:48:53.723509,1656.75,Credit Card,Premium,Month-to-Month,2.0,28.1,0.0
125.0,M,40.0,2021-11-11 19:48:53.716385,2024-01-03 19:48:53.723519,1909.59,PayPal,Premium,Month-to-Month,3.0,,
126.0,M,56.0,2022-11-04 19:48:53.716390,2024-05-02 19:48:53.723529,1420.56,PayPal,Premium,,5.0,16.3,0.0
127.0,,25.0,2022-09-08 19:48:53.716396,2024-12-15 19:48:53.723534,102.48,PayPal,,One Year,0.0,13.4,0.0
128.0,M,29.0,,2024-09-06 19:48:53.723542,1433.81,Credit Card,Premium,One Year,7.0,24.8,1.0
,F,35.0,2023-05-17 19:48:53.716406,2023-11-30 19:48:53.723548,952.25,PayPal,Premium,Month-to-Month,3.0,29.3,0.0
130.0,F,29.0,2022-08-21 19:48:53.716412,,478.07,PayPal,Standard,Month-to-Month,2.0,1.1,1.0
131.0,M,19.0,2023-11-18 19:48:53.716418,2024-10-23 19:48:53.723559,1378.99,Credit Card,Premium,Month-to-Month,1.0,18.7,0.0
132.0,F,,2020-01-23 19:48:53.716423,2023-11-28 19:48:53.723565,501.83,PayPal,Standard,Month-to-Month,3.0,18.6,1.0
133.0,,24.0,2020-05-06 19:48:53.716428,2024-11-07 19:48:53.723570,,Debit Card,Premium,Month-to-Month,3.0,29.0,1.0
134.0,F,39.0,2021-04-03 19:48:53.716434,2024-09-16 19:48:53.723575,,,Standard,One Year,3.0,14.7,0.0
135.0,M,25.0,2024-04-01 19:48:53.716439,2024-07-06 19:48:53.723580,1389.6,,Premium,One Year,5.0,,0.0
136.0,,50.0,2023-01-25 19:48:53.716444,,760.9,Debit Card,Standard,,3.0,,1.0
137.0,M,,2021-02-06 19:48:53.716449,2024-01-07 19:48:53.723591,313.05,PayPal,Standard,Month-to-Month,9.0,10.8,1.0
138.0,F,31.0,2021-03-25 19:48:53.716455,2024-08-05 19:48:53.723596,,Credit Card,Premium,Two Year,4.0,18.5,0.0
139.0,M,43.0,2024-02-18 19:48:53.716460,2024-05-29 19:48:53.723602,574.61,PayPal,Standard,Month-to-Month,7.0,4.4,1.0
140.0,M,22.0,,2025-01-26 19:48:53.723612,1524.55,Credit Card,Premium,Month-to-Month,1.0,27.2,0.0
141.0,M,37.0,2024-01-30 19:48:53.716470,2024-11-17 19:48:53.723622,1158.71,Credit Card,Premium,Month-to-Month,2.0,,0.0
142.0,F,48.0,2022-04-21 19:48:53.716476,2024-12-14 19:48:53.723632,1292.98,Credit Card,Premium,One Year,2.0,22.0,0.0
143.0,M,18.0,2020-02-07 19:48:53.716481,,1061.24,Debit Card,Premium,Two Year,4.0,29.1,1.0
144.0,F,36.0,2023-09-04 19:48:53.716486,2023-12-23 19:48:53.723650,1959.23,Debit Card,Premium,Month-to-Month,7.0,17.8,1.0
145.0,F,37.0,2020-01-12 19:48:53.716491,2024-05-11 19:48:53.723659,956.76,Credit Card,Premium,Two Year,0.0,29.7,
,M,42.0,2022-08-24 19:48:53.716497,2024-06-23 19:48:53.723666,1246.2,Credit Card,Premium,,0.0,29.9,0.0
147.0,F,22.0,2021-06-10 19:48:53.716502,2024-12-15 19:48:53.723671,30.41,Credit Card,Standard,Month-to-Month,7.0,11.6,0.0
148.0,M,21.0,2021-01-07 19:48:53.716507,2024-08-02 19:48:53.723677,185.21,Debit Card,Standard,Month-to-Month,1.0,4.2,1.0
,F,40.0,2021-10-23 19:48:53.716512,2025-01-01 19:48:53.723682,1736.57,Debit Card,Premium,Month-to-Month,5.0,19.7,0.0
150.0,M,37.0,2020-03-18 19:48:53.716518,2024-04-19 19:48:53.723688,1041.41,PayPal,Premium,Two Year,4.0,21.4,0.0
151.0,F,37.0,2021-02-20 19:48:53.716523,2024-06-19 19:48:53.723694,896.08,PayPal,Premium,Month-to-Month,7.0,19.6,
152.0,F,38.0,2022-11-02 19:48:53.716529,,1369.34,PayPal,Premium,One Year,1.0,19.2,0.0
153.0,F,28.0,2023-08-21 19:48:53.716534,2023-10-03 19:48:53.723705,811.96,,Premium,Month-to-Month,1.0,29.6,0.0
154.0,F,37.0,2024-07-10 19:48:53.716539,2024-10-07 19:48:53.723710,901.72,,Premium,One Year,4.0,,0.0
155.0,M,37.0,2023-01-25 19:48:53.716545,2023-11-19 19:48:53.723715,1769.15,Credit Card,Premium,Month-to-Month,8.0,26.0,1.0
156.0,F,27.0,2020-08-03 19:48:53.716550,,619.46,,Standard,One Year,3.0,1.0,1.0
157.0,F,53.0,2021-11-21 19:48:53.716555,2024-06-02 19:48:53.723726,1898.17,PayPal,Premium,Two Year,2.0,23.9,0.0
158.0,F,39.0,,2023-11-30 19:48:53.723731,1825.42,Credit Card,Premium,Two Year,5.0,28.7,0.0
159.0,M,23.0,2019-10-03 19:48:53.716565,2024-07-27 19:48:53.723737,1619.81,Debit Card,Premium,Two Year,8.0,19.3,1.0
160.0,,41.0,2021-10-03 19:48:53.716571,2023-09-26 19:48:53.723742,862.8,Credit Card,Premium,Month-to-Month,7.0,17.8,1.0
161.0,F,25.0,2022-03-14 19:48:53.716576,2023-12-29 19:48:53.723747,1739.42,Credit Card,Premium,One Year,9.0,24.8,1.0
162.0,F,42.0,,,,PayPal,Premium,Month-to-Month,0.0,25.7,1.0
163.0,M,46.0,2022-05-19 19:48:53.716586,2024-07-09 19:48:53.723758,1758.9,PayPal,Premium,Month-to-Month,1.0,25.3,1.0
164.0,F,26.0,2022-06-26 19:48:53.716592,2024-10-24 19:48:53.723763,1410.17,PayPal,Premium,One Year,5.0,19.8,0.0
,M,44.0,,2024-03-12 19:48:53.723768,193.99,Credit Card,Standard,Month-to-Month,7.0,5.8,1.0
166.0,F,39.0,2021-12-11 19:48:53.716602,2024-01-29 19:48:53.723774,677.81,Credit Card,,One Year,2.0,19.2,1.0
167.0,M,43.0,2020-01-06 19:48:53.716607,2023-11-02 19:48:53.723779,1672.6,PayPal,Premium,,1.0,28.8,
168.0,F,53.0,2023-05-16 19:48:53.716613,,1976.91,Credit Card,Premium,Month-to-Month,6.0,21.9,1.0
,,32.0,2022-12-18 19:48:53.716618,2024-03-18 19:48:53.723790,986.83,,Premium,One Year,0.0,27.7,1.0
170.0,M,27.0,2022-02-11 19:48:53.716623,,1070.8,PayPal,Premium,Month-to-Month,2.0,21.8,
171.0,F,26.0,2021-10-17 19:48:53.716628,2024-10-06 19:48:53.723800,1054.16,,Premium,Month-to-Month,4.0,21.4,1.0
,M,,2023-08-26 19:48:53.716633,2024-11-02 19:48:53.723805,1751.05,PayPal,Premium,Month-to-Month,4.0,17.4,0.0
173.0,F,34.0,2020-06-02 19:48:53.716639,2023-11-10 19:48:53.723811,,,Premium,Two Year,,21.4,1.0
174.0,F,38.0,2022-07-28 19:48:53.716645,2023-11-09 19:48:53.723817,,Credit Card,Premium,Two Year,,23.1,0.0
175.0,F,37.0,,2024-09-28 19:48:53.723822,1998.27,Credit Card,,Two Year,5.0,15.3,0.0
176.0,F,43.0,2019-12-03 19:48:53.716655,2024-11-05 19:48:53.723827,29.61,PayPal,Standard,Two Year,4.0,,1.0
177.0,F,35.0,2021-07-29 19:48:53.716662,2024-11-04 19:48:53.723833,669.84,PayPal,Standard,Month-to-Month,4.0,15.8,1.0
178.0,M,49.0,2019-09-21 19:48:53.716671,2024-12-03 19:48:53.723839,,PayPal,Standard,Month-to-Month,5.0,13.9,1.0
179.0,M,32.0,2022-04-09 19:48:53.716680,2025-01-06 19:48:53.723845,1809.94,PayPal,Premium,,2.0,24.5,0.0
180.0,F,62.0,2020-12-01 19:48:53.716690,2024-07-09 19:48:53.723850,448.15,PayPal,Standard,,,18.3,
181.0,F,41.0,2020-08-17 19:48:53.716699,2025-01-23 19:48:53.723856,1881.96,Debit Card,Premium,,1.0,15.3,1.0
182.0,F,26.0,2021-11-30 19:48:53.716708,2024-03-08 19:48:53.723861,741.69,Credit Card,Standard,Month-to-Month,1.0,11.6,0.0
183.0,F,,2023-06-04 19:48:53.716714,2024-04-13 19:48:53.723866,810.92,Credit Card,Premium,,4.0,26.8,0.0
184.0,M,39.0,2023-09-30 19:48:53.716721,2024-09-27 19:48:53.723871,69.58,Credit Card,Standard,One Year,7.0,11.3,1.0
185.0,F,32.0,2022-11-14 19:48:53.716730,2024-04-17 19:48:53.723877,1100.43,,Premium,Month-to-Month,6.0,19.9,1.0
186.0,M,42.0,2023-06-21 19:48:53.716739,2024-08-15 19:48:53.723882,538.76,Credit Card,Standard,Month-to-Month,6.0,3.6,1.0
187.0,M,39.0,2021-06-21 19:48:53.716748,2024-07-11 19:48:53.723887,711.74,Credit Card,Standard,One Year,2.0,17.9,
188.0,,34.0,2021-04-27 19:48:53.716762,2023-11-30 19:48:53.723892,1351.93,Debit Card,Premium,One Year,,22.1,1.0
189.0,M,26.0,2021-07-12 19:48:53.716768,2025-01-11 19:48:53.723898,1528.37,Credit Card,Premium,Month-to-Month,2.0,28.2,1.0
190.0,M,19.0,2023-04-29 19:48:53.716773,2024-10-28 19:48:53.723903,158.91,Credit Card,Standard,One Year,1.0,12.1,0.0
,,30.0,2023-03-13 19:48:53.716778,2023-12-26 19:48:53.723908,1765.96,Credit Card,Premium,Month-to-Month,0.0,25.1,1.0
192.0,F,43.0,2023-10-04 19:48:53.716783,2024-02-14 19:48:53.723913,774.19,Credit Card,Standard,Month-to-Month,,16.3,1.0
193.0,M,37.0,2020-12-05 19:48:53.716789,2024-09-18 19:48:53.723919,1122.32,Credit Card,Premium,One Year,9.0,,0.0
194.0,M,22.0,2020-01-06 19:48:53.716794,2024-03-27 19:48:53.723924,1393.79,Credit Card,Premium,One Year,1.0,21.0,0.0
195.0,,36.0,2024-05-22 19:48:53.716799,2024-08-14 19:48:53.723929,903.34,Credit Card,Premium,Month-to-Month,0.0,22.7,1.0
196.0,M,38.0,2022-01-03 19:48:53.716805,2025-01-06 19:48:53.723934,1470.96,PayPal,Premium,One Year,,27.0,1.0
197.0,M,26.0,2024-05-13 19:48:53.716810,,407.2,Debit Card,Standard,One Year,2.0,8.1,1.0
198.0,M,36.0,2020-09-26 19:48:53.716815,2023-09-27 19:48:53.723945,,Debit Card,Premium,One Year,7.0,20.8,1.0
199.0,F,35.0,2022-03-12 19:48:53.716820,2024-09-14 19:48:53.723950,1330.48,PayPal,Premium,One Year,6.0,16.4,0.0
200.0,F,23.0,2023-09-14 19:48:53.716828,2024-03-25 19:48:53.723955,1200.93,,Premium,,8.0,28.7,1.0
201.0,F,38.0,2020-11-21 19:48:53.716837,2024-02-19 19:48:53.723961,1426.2,Debit Card,Premium,Month-to-Month,3.0,16.4,1.0
,,40.0,2021-06-17 19:48:53.716862,2024-12-24 19:48:53.723969,472.67,Debit Card,Standard,Month-to-Month,5.0,13.3,1.0
203.0,,45.0,2024-04-16 19:48:53.716869,2023-10-04 19:48:53.723974,16.71,Credit Card,Standard,Month-to-Month,3.0,8.9,1.0
